epoch,train_loss,train_f1,val_loss,val_P,val_R,val_F1,test_loss,test_P,test_R,test_F1
1,1.2304876332329842,0.76483009506625,0.4515332728624344,0.8987803736049975,0.8987803736049975,0.8987803731049975,0.6567722814423698,0.8615809446880335,0.8615809446880335,0.8615809441880335
2,0.31913848982571463,0.9269384178338012,0.2647499516606331,0.9379004290003836,0.9379004290003836,0.9379004285003836,0.4454404498849596,0.9009723478936189,0.9009723478936189,0.9009723473936189
3,0.1743508091994932,0.9583917036159914,0.20964188873767853,0.9505812038830677,0.9505812038830677,0.9505812033830676,0.374804967216083,0.9221446941256154,0.9221446941256154,0.9221446936256154
4,0.11515849307046434,0.9721509133858084,0.18960996717214584,0.9569004711132537,0.9569004711132537,0.9569004706132537,0.3460796816008432,0.9268773822385101,0.9268773822385101,0.9268773817385101
5,0.0767046182406611,0.9820829620254967,0.15410161204636097,0.9660777987537377,0.9660777987537377,0.9660777982537376,0.320488521030971,0.9332250784439743,0.9332250784439743,0.9332250779439742
6,0.05986404568445863,0.9863613048213424,0.16916110180318356,0.9644974138470083,0.9644974138470083,0.9644974133470082,0.3129547429936273,0.9348232271582292,0.9348232271582292,0.9348232266582291
7,0.03931127554206836,0.9917390021766396,0.13888543471693993,0.9671883860692215,0.9671883860692215,0.9671883855692215,0.33226142610822407,0.931962581881517,0.931962581881517,0.931962581381517
8,0.03145272129844426,0.9930422734865709,0.15964062325656414,0.9635780282821622,0.9635780282821622,0.9635780277821622,0.33094968114580425,0.9371105949744771,0.9371105949744771,0.937110594474477
