epoch,train_loss,train_f1,val_loss,val_P,val_R,val_F1,test_loss,test_P,test_R,test_F1
1,1.6732984369579529,0.6943455311820158,0.6016382128000259,0.8669554866559965,0.8669554866559965,0.8669554861559963,0.8488207629748753,0.8355394047084196,0.8355394047084196,0.8355394042084195
2,0.3898911964189019,0.9144999649754924,0.25347090139985085,0.9459512625481878,0.9459512625481878,0.9459512620481878,0.47426397034100126,0.8948618550312271,0.8948618550312271,0.894861854531227
3,0.18306465498492858,0.9592228469119116,0.16940985061228275,0.9639674909267055,0.9639674909267055,0.9639674904267055,0.35987665184906553,0.923236995231365,0.923236995231365,0.923236994731365
4,0.1078383337366616,0.9774329956970598,0.1298224851489067,0.9672729192280356,0.9672729192280356,0.9672729187280356,0.3399221088205065,0.9336338485199774,0.9336338485199774,0.9336338480199774
5,0.06605562535454401,0.9859303355959961,0.12192484084516764,0.9723769086804416,0.9723769086804416,0.9723769081804415,0.32706257913793835,0.9376836815394288,0.9376836815394288,0.9376836810394288
6,0.045315034872079316,0.9914560559225039,0.11408005375415087,0.9720163463449715,0.9720163463449715,0.9720163458449714,0.3187470755406788,0.9361968607018325,0.9361968607018325,0.9361968602018325
7,0.05220716867125781,0.9893826289159386,0.1266054753214121,0.9685483746490359,0.9685483746490359,0.9685483741490358,0.34892189502716064,0.9227794049831545,0.9227794049831545,0.9227794044831544
8,0.03627616982843458,0.9923787045216176,0.09553125500679016,0.9753640673827928,0.9753640673827928,0.9753640668827928,0.3211780658790043,0.9409596534041301,0.9409596534041301,0.9409596529041301
